date	weight
02.01.2019	79,4
04.01.2019	79,8
13.01.2019	79,5
17.01.2019	79,8
19.01.2019	79,3
25.01.2019	78,5
28.01.2019	79,7
01.02.2019	79,2
15.02.2019	78,5
18.02.2019	78,1
20.02.2019	79
26.02.2019	79
28.02.2019	78
03.03.2019	79
08.03.2019	78,7
10.03.2019	79,4
15.03.2019	79,8
19.03.2019	78,5
22.03.2019	79,2
24.03.2019	79,2
27.03.2019	79,3
30.03.2019	79,5
01.04.2019	79,3
11.04.2019	79,3
14.04.2019	78,7
16.04.2019	78,9
17.04.2019	79,1
19.04.2019	79,3
21.04.2019	80,1
22.04.2019	79,7
25.04.2019	79,8
27.04.2019	79,5
29.04.2019	79,3
30.04.2019	79,2
01.05.2019	79,9
02.05.2019	79,5
03.05.2019	79,9
06.05.2019	81
07.05.2019	80,4
09.05.2019	80,2
10.05.2019	80
11.05.2019	79,4
13.05.2019	78,4
14.05.2019	78,8
16.05.2019	78,7
17.05.2019	78,4
18.05.2019	78,5
19.05.2019	79,5
20.05.2019	78,9
21.05.2019	78,6
23.05.2019	78,8
24.05.2019	78,6
27.05.2019	78,3
28.05.2019	78,2
29.05.2019	77,8
30.05.2019	77,3
31.05.2019	77,2
01.06.2019	78
02.06.2019	79,1
03.06.2019	79
04.06.2019	78,6
05.06.2019	78
07.06.2019	77,9
08.06.2019	77,5
10.06.2019	77,8
11.06.2019	78,6
12.06.2019	78,2
13.06.2019	77,8
14.06.2019	78,9
16.06.2019	78,8
17.06.2019	78,7
18.06.2019	79,1
19.06.2019	78,8
21.06.2019	78,9
22.06.2019	78,7
23.06.2019	78,3
24.06.2019	79,3
25.06.2019	78,7
27.06.2019	78,6
28.06.2019	78,4
29.06.2019	78
30.06.2019	78
01.07.2019	78,3
02.07.2019	77,7
03.07.2019	78,1
04.07.2019	77,7
05.07.2019	78,2
06.07.2019	78,1
07.07.2019	77,6
08.07.2019	77,6
12.07.2019	77,6
16.07.2019	77,6
22.07.2019	77,7
23.07.2019	78,4
24.07.2019	78,4
25.07.2019	77,8
26.07.2019	77,6
27.07.2019	78
28.07.2019	77,8
29.07.2019	79,3
30.07.2019	78,6
31.07.2019	77,8
01.08.2019	78,2
02.08.2019	78,4
03.08.2019	78,4
04.08.2019	79
05.08.2019	80,4
06.08.2019	78,8
08.08.2019	78,9
09.08.2019	79
10.08.2019	79
12.08.2019	79,5
13.08.2019	79,5
14.08.2019	79,2
16.08.2019	78,8
17.08.2019	77,8
18.08.2019	78,5
19.08.2019	78,8
20.08.2019	78,4
21.08.2019	78,9
22.08.2019	78,1
23.08.2019	78,2
24.08.2019	77,6
25.08.2019	78
26.08.2019	79,5
28.08.2019	78,1
29.08.2019	78,1
30.08.2019	77,4
31.08.2019	77,5
01.09.2019	78
02.09.2019	77,8
03.09.2019	77,9
04.09.2019	78
05.09.2019	77,5
06.09.2019	76,9
08.09.2019	78,1
09.09.2019	78,4
10.09.2019	77,8
11.09.2019	77,4
12.09.2019	77,5
13.09.2019	77,5
14.09.2019	77,7
15.09.2019	76,7
16.09.2019	76,9
17.09.2019	76,8
19.09.2019	77,3
20.09.2019	77,4
21.09.2019	77,2
22.09.2019	78
23.09.2019	77,5
24.09.2019	77
25.09.2019	77
26.09.2019	77,4
27.09.2019	77,8
28.09.2019	77,4
29.09.2019	77
30.09.2019	76,6
03.10.2019	77
04.10.2019	77,2
09.10.2019	76,4
10.10.2019	77
11.10.2019	76,9
12.10.2019	76,4
13.10.2019	76,6
14.10.2019	76,4
15.10.2019	76,7
17.10.2019	77,1
21.10.2019	77
22.10.2019	76,5
24.10.2019	76
25.10.2019	75,8
26.10.2019	76,6
27.10.2019	76,8
28.10.2019	76,2
29.10.2019	76,4